ID,Resume_str,Resume_html,Category
10000410,"         BUSINESS ANALYST

Summary

Ambitious Business Analyst with expertise in Six Sigma Basics and CRM Tools (Salesforce), focused on driving business growth and delivering measurable results.

Highlights

  Six Sigma Basics
  CRM Tools (Salesforce)
  Business Analytics
  Budgeting & Forecasting
  Digital Marketing
  Strategic Planning

Accomplishments

  Awarded 'Best Presentation' for a case study on market entry strategy for FMCG brands.
  Recognized for outstanding performance during a 6-month internship at Reliance Retail.

Experience

Finance Analyst
Local Chartered Accountancy Firm -- 2021
Worked on tasks involving Business Analytics, Client Relationship Management, Presentation Skills. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 10 months of practical exposure to the MBA domain.

Education

Master of Business Administration (MBA) - Specialisation: Marketing
IBS Business School, 2025
Aggregate: 66.65%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Business Analyst</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Ambitious Business Analyst with expertise in Six Sigma Basics and CRM Tools (Salesforce), focused on driving business growth and delivering measurable results.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Six Sigma Basics</li><li>CRM Tools (Salesforce)</li><li>Business Analytics</li><li>Budgeting & Forecasting</li><li>Digital Marketing</li><li>Strategic Planning</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Awarded 'Best Presentation' for a case study on market entry strategy for FMCG brands.</li><li>Recognized for outstanding performance during a 6-month internship at Reliance Retail.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Finance Analyst<br>Local Chartered Accountancy Firm -- 2021<br>Worked on tasks involving Business Analytics, Client Relationship Management, Presentation Skills. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 10 months of practical exposure to the MBA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Business Administration (MBA) - Specialisation: Marketing<br>IBS Business School, 2025<br>Aggregate: 66.65%</p></div></div></div>",MBA
10000411,"         TECHNICAL SUPPORT EXECUTIVE

TECHNICAL SUPPORT EXECUTIVE

Summary

Fresh BCA graduate with practical exposure to Data Structures and Operating Systems, looking to start a career in software development.

Highlights

  Data Structures
  Operating Systems
  Software Testing
  C Programming
  Bootstrap
  Git
  WordPress

Accomplishments

  Recognized for outstanding performance during a 5-month internship at Tech Mahindra.
  Successfully led a team of 5 students in a group project on responsive portfolio website.
  Completed a live project on library management system as part of the final semester curriculum.
  Successfully led a team of 2 students in a group project on attendance tracking app.

Education

Bachelor of Computer Applications (BCA)
Mount Carmel College, 2024
Aggregate: 73.76%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Technical Support Executive</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Fresh BCA graduate with practical exposure to Data Structures and Operating Systems, looking to start a career in software development.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Data Structures</li><li>Operating Systems</li><li>Software Testing</li><li>C Programming</li><li>Bootstrap</li><li>Git</li><li>WordPress</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Recognized for outstanding performance during a 5-month internship at Tech Mahindra.</li><li>Successfully led a team of 5 students in a group project on responsive portfolio website.</li><li>Completed a live project on library management system as part of the final semester curriculum.</li><li>Successfully led a team of 2 students in a group project on attendance tracking app.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Computer Applications (BCA)<br>Mount Carmel College, 2024<br>Aggregate: 73.76%</p></div></div></div>",BCA
10000412,"         BILLING EXECUTIVE

BILLING EXECUTIVE

Summary

Diligent commerce graduate skilled in Income Tax Returns, Cost Accounting and Financial Accounting, committed to accuracy and timely financial reporting.

Highlights

  Income Tax Returns
  Cost Accounting
  Financial Accounting
  Busy Accounting Software
  Taxation
  Invoicing
  Auditing Basics
  SAP FICO Basics

Accomplishments

  Awarded 'Best Presentation' for a case study on audit of financial statements.
  Secured a certificate of merit for academic excellence in audit of financial statements.
  Recognized for outstanding performance during a 4-month internship at Cognizant.

Experience

Accounts Payable Clerk
Local Chartered Accountancy Firm -- 2019
Worked on tasks involving Invoicing, MS Excel, Income Tax Returns. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 20 months of practical exposure to the BCOM domain.

Education

Bachelor of Commerce (B.Com)
Jain University, 2023
Aggregate: 71.84%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Billing Executive</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Diligent commerce graduate skilled in Income Tax Returns, Cost Accounting and Financial Accounting, committed to accuracy and timely financial reporting.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Income Tax Returns</li><li>Cost Accounting</li><li>Financial Accounting</li><li>Busy Accounting Software</li><li>Taxation</li><li>Invoicing</li><li>Auditing Basics</li><li>SAP FICO Basics</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Awarded 'Best Presentation' for a case study on audit of financial statements.</li><li>Secured a certificate of merit for academic excellence in audit of financial statements.</li><li>Recognized for outstanding performance during a 4-month internship at Cognizant.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Accounts Payable Clerk<br>Local Chartered Accountancy Firm -- 2019<br>Worked on tasks involving Invoicing, MS Excel, Income Tax Returns. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 20 months of practical exposure to the BCOM domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Commerce (B.Com)<br>Jain University, 2023<br>Aggregate: 71.84%</p></div></div></div>",BCOM
10000413,"         MARKETING ASSOCIATE

MARKETING ASSOCIATE

Summary

Well-rounded business administration graduate skilled in Customer Service, Presentation Skills and MS Office, eager to begin a career in a corporate environment.

Highlights

  Customer Service
  Presentation Skills
  MS Office
  Communication Skills
  Sales Strategy
  CRM Software
  Event Management
  Retail Operations

Accomplishments

  Recognized for outstanding performance during a 3-month internship at Zomato.
  Awarded 'Best Presentation' for a case study on customer satisfaction survey.
  Awarded 'Best Presentation' for a case study on social media marketing campaign.

Experience

Operations Trainee
ICICI Bank -- 2021
Worked on tasks involving Retail Operations, Social Media Marketing, Customer Service. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 4 months of practical exposure to the BBA domain.

Education

Bachelor of Business Administration (BBA)
Mount Carmel College, 2019
Aggregate: 73.64%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Marketing Associate</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Well-rounded business administration graduate skilled in Customer Service, Presentation Skills and MS Office, eager to begin a career in a corporate environment.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Customer Service</li><li>Presentation Skills</li><li>MS Office</li><li>Communication Skills</li><li>Sales Strategy</li><li>CRM Software</li><li>Event Management</li><li>Retail Operations</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Recognized for outstanding performance during a 3-month internship at Zomato.</li><li>Awarded 'Best Presentation' for a case study on customer satisfaction survey.</li><li>Awarded 'Best Presentation' for a case study on social media marketing campaign.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Operations Trainee<br>ICICI Bank -- 2021<br>Worked on tasks involving Retail Operations, Social Media Marketing, Customer Service. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 4 months of practical exposure to the BBA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Business Administration (BBA)<br>Mount Carmel College, 2019<br>Aggregate: 73.64%</p></div></div></div>",BBA
10000414,"         CUSTOMER RELATIONSHIP EXECUTIVE

Summary

Proactive Customer Relationship Executive with strong communication skills and internship exposure in Presentation Skills.

Highlights

  Presentation Skills
  Sales Strategy
  Market Research
  CRM Software
  Business Communication
  Customer Service

Accomplishments

  Secured a certificate of merit for academic excellence in retail store operations.
  Completed a live project on social media marketing campaign as part of the final semester curriculum.
  Recognized for outstanding performance during a 6-month internship at Swiggy.

Experience

Marketing Associate
Cognizant -- 2018
Worked on tasks involving Business Communication, Social Media Marketing, CRM Software. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 17 months of practical exposure to the BBA domain.

Education

Bachelor of Business Administration (BBA)
Jain University, 2019
Aggregate: 71.04%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Customer Relationship Executive</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Proactive Customer Relationship Executive with strong communication skills and internship exposure in Presentation Skills.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Presentation Skills</li><li>Sales Strategy</li><li>Market Research</li><li>CRM Software</li><li>Business Communication</li><li>Customer Service</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Secured a certificate of merit for academic excellence in retail store operations.</li><li>Completed a live project on social media marketing campaign as part of the final semester curriculum.</li><li>Recognized for outstanding performance during a 6-month internship at Swiggy.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Marketing Associate<br>Cognizant -- 2018<br>Worked on tasks involving Business Communication, Social Media Marketing, CRM Software. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 17 months of practical exposure to the BBA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Business Administration (BBA)<br>Jain University, 2019<br>Aggregate: 71.04%</p></div></div></div>",BBA
10000415,"         BUSINESS ANALYST

Summary

Result-driven MBA graduate specializing in Human Resources, with strong analytical and leadership skills developed through internships and live projects.

Highlights

  MS Excel (Advanced)
  Team Leadership
  Business Analytics
  Project Management
  Negotiation
  Strategic Planning
  CRM Tools (Salesforce)

Accomplishments

  Recognized for outstanding performance during a 6-month internship at Deloitte.
  Secured a certificate of merit for academic excellence in market entry strategy for FMCG brands.

Education

Master of Business Administration (MBA) - Specialisation: Human Resources
Christ University School of Business, 2023
Aggregate: 69.71%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Business Analyst</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Result-driven MBA graduate specializing in Human Resources, with strong analytical and leadership skills developed through internships and live projects.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>MS Excel (Advanced)</li><li>Team Leadership</li><li>Business Analytics</li><li>Project Management</li><li>Negotiation</li><li>Strategic Planning</li><li>CRM Tools (Salesforce)</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Recognized for outstanding performance during a 6-month internship at Deloitte.</li><li>Secured a certificate of merit for academic excellence in market entry strategy for FMCG brands.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Business Administration (MBA) - Specialisation: Human Resources<br>Christ University School of Business, 2023<br>Aggregate: 69.71%</p></div></div></div>",MBA
10000416,"         BACKEND DEVELOPER

Summary

Enthusiastic Backend Developer skilled in React JS, Spring Boot and MongoDB, with a passion for building efficient, scalable software solutions.

Highlights

  React JS
  Spring Boot
  MongoDB
  Software Testing
  Node.js
  Java
  Linux
  Machine Learning basics

Accomplishments

  Successfully led a team of 4 students in a group project on machine learning based recommendation engine.
  Completed a live project on e-commerce web application development as part of the final semester curriculum.

Experience

Full Stack Developer
HCL Technologies -- 2023
Worked on tasks involving Linux, Data Structures, SQL. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 14 months of practical exposure to the MCA domain.

System Analyst
Zomato -- 2023
Worked on tasks involving Data Structures, Cloud Computing (AWS/Azure), Python. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 13 months of practical exposure to the MCA domain.

Education

Master of Computer Applications (MCA)
BMS Institute of Technology, 2021
Aggregate: 77.12%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Backend Developer</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Enthusiastic Backend Developer skilled in React JS, Spring Boot and MongoDB, with a passion for building efficient, scalable software solutions.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>React JS</li><li>Spring Boot</li><li>MongoDB</li><li>Software Testing</li><li>Node.js</li><li>Java</li><li>Linux</li><li>Machine Learning basics</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Successfully led a team of 4 students in a group project on machine learning based recommendation engine.</li><li>Completed a live project on e-commerce web application development as part of the final semester curriculum.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Full Stack Developer<br>HCL Technologies -- 2023<br>Worked on tasks involving Linux, Data Structures, SQL. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 14 months of practical exposure to the MCA domain.<br><br>System Analyst<br>Zomato -- 2023<br>Worked on tasks involving Data Structures, Cloud Computing (AWS/Azure), Python. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 13 months of practical exposure to the MCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Computer Applications (MCA)<br>BMS Institute of Technology, 2021<br>Aggregate: 77.12%</p></div></div></div>",MCA
10000417,"         DATABASE ASSISTANT

Summary

Tech-savvy Database Assistant with project experience in Software Testing, seeking an entry-level opportunity to grow as a developer.

Highlights

  Software Testing
  Operating Systems
  WordPress
  Bootstrap
  Git
  JavaScript

Accomplishments

  Recognized for outstanding performance during a 4-month internship at ABC Retail Pvt Ltd.
  Successfully led a team of 3 students in a group project on billing software.
  Actively participated in college-level workshops and seminars related to responsive portfolio website.
  Awarded 'Best Presentation' for a case study on responsive portfolio website.

Experience

Web Designer
Zomato -- 2021
Worked on tasks involving Python, Data Structures, Java. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 7 months of practical exposure to the BCA domain.

Education

Bachelor of Computer Applications (BCA)
Christ University, BCA Program, 2019
Aggregate: 85.87%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Database Assistant</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Tech-savvy Database Assistant with project experience in Software Testing, seeking an entry-level opportunity to grow as a developer.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Software Testing</li><li>Operating Systems</li><li>WordPress</li><li>Bootstrap</li><li>Git</li><li>JavaScript</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Recognized for outstanding performance during a 4-month internship at ABC Retail Pvt Ltd.</li><li>Successfully led a team of 3 students in a group project on billing software.</li><li>Actively participated in college-level workshops and seminars related to responsive portfolio website.</li><li>Awarded 'Best Presentation' for a case study on responsive portfolio website.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Web Designer<br>Zomato -- 2021<br>Worked on tasks involving Python, Data Structures, Java. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 7 months of practical exposure to the BCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Computer Applications (BCA)<br>Christ University, BCA Program, 2019<br>Aggregate: 85.87%</p></div></div></div>",BCA
10000418,"         SOFTWARE TESTER

SOFTWARE TESTER

Summary

Tech-savvy Software Tester with project experience in Software Testing, seeking an entry-level opportunity to grow as a developer.

Highlights

  Software Testing
  C Programming
  Operating Systems
  Web Development
  Java

Accomplishments

  Successfully led a team of 2 students in a group project on student database management system.
  Actively participated in college-level workshops and seminars related to attendance tracking app.

Experience

Database Assistant
Capgemini -- 2022
Worked on tasks involving JavaScript, Networking Basics, Operating Systems. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 5 months of practical exposure to the BCA domain.

Education

Bachelor of Computer Applications (BCA)
Mount Carmel College, 2020
Aggregate: 73.09%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Software Tester</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Tech-savvy Software Tester with project experience in Software Testing, seeking an entry-level opportunity to grow as a developer.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Software Testing</li><li>C Programming</li><li>Operating Systems</li><li>Web Development</li><li>Java</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Successfully led a team of 2 students in a group project on student database management system.</li><li>Actively participated in college-level workshops and seminars related to attendance tracking app.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Database Assistant<br>Capgemini -- 2022<br>Worked on tasks involving JavaScript, Networking Basics, Operating Systems. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 5 months of practical exposure to the BCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Computer Applications (BCA)<br>Mount Carmel College, 2020<br>Aggregate: 73.09%</p></div></div></div>",BCA
10000419,"         PROGRAMMER ANALYST TRAINEE

Summary

Fresh BCA graduate with practical exposure to MySQL and Git, looking to start a career in software development.

Highlights

  MySQL
  Git
  Networking Basics
  JavaScript
  HTML/CSS

Accomplishments

  Recognized for outstanding performance during a 3-month internship at Amazon India.
  Completed a live project on student database management system as part of the final semester curriculum.

Experience

Programmer Analyst Trainee
Byju's -- 2024
Worked on tasks involving Git, C Programming, Bootstrap. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 17 months of practical exposure to the BCA domain.

IT Trainee
Infosys -- 2023
Worked on tasks involving Bootstrap, Networking Basics, Java. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 20 months of practical exposure to the BCA domain.

Education

Bachelor of Computer Applications (BCA)
St. Joseph's College of Commerce, 2025
Aggregate: 80.36%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Programmer Analyst Trainee</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Fresh BCA graduate with practical exposure to MySQL and Git, looking to start a career in software development.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>MySQL</li><li>Git</li><li>Networking Basics</li><li>JavaScript</li><li>HTML/CSS</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Recognized for outstanding performance during a 3-month internship at Amazon India.</li><li>Completed a live project on student database management system as part of the final semester curriculum.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Programmer Analyst Trainee<br>Byju's -- 2024<br>Worked on tasks involving Git, C Programming, Bootstrap. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 17 months of practical exposure to the BCA domain.<br><br>IT Trainee<br>Infosys -- 2023<br>Worked on tasks involving Bootstrap, Networking Basics, Java. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 20 months of practical exposure to the BCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Computer Applications (BCA)<br>St. Joseph's College of Commerce, 2025<br>Aggregate: 80.36%</p></div></div></div>",BCA
10000420,"         WEB DEVELOPER

Summary

Enthusiastic Web Developer skilled in MongoDB, React JS and Software Testing, with a passion for building efficient, scalable software solutions.

Highlights

  MongoDB
  React JS
  Software Testing
  Machine Learning basics
  Git
  JavaScript
  Java

Accomplishments

  Awarded 'Best Presentation' for a case study on inventory management system.
  Completed a live project on e-commerce web application development as part of the final semester curriculum.

Experience

Backend Developer
Swiggy -- 2024
Worked on tasks involving React JS, HTML/CSS, Spring Boot. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 20 months of practical exposure to the MCA domain.

System Analyst
Zomato -- 2020
Worked on tasks involving Cloud Computing (AWS/Azure), Git, C++. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 3 months of practical exposure to the MCA domain.

Education

Master of Computer Applications (MCA)
RV College of Engineering (MCA Program), 2025
Aggregate: 77.92%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Web Developer</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Enthusiastic Web Developer skilled in MongoDB, React JS and Software Testing, with a passion for building efficient, scalable software solutions.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>MongoDB</li><li>React JS</li><li>Software Testing</li><li>Machine Learning basics</li><li>Git</li><li>JavaScript</li><li>Java</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Awarded 'Best Presentation' for a case study on inventory management system.</li><li>Completed a live project on e-commerce web application development as part of the final semester curriculum.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Backend Developer<br>Swiggy -- 2024<br>Worked on tasks involving React JS, HTML/CSS, Spring Boot. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 20 months of practical exposure to the MCA domain.<br><br>System Analyst<br>Zomato -- 2020<br>Worked on tasks involving Cloud Computing (AWS/Azure), Git, C++. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 3 months of practical exposure to the MCA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Master of Computer Applications (MCA)<br>RV College of Engineering (MCA Program), 2025<br>Aggregate: 77.92%</p></div></div></div>",MCA
10000421,"         APPLICATION SUPPORT EXECUTIVE

APPLICATION SUPPORT EXECUTIVE

Summary

Fresh BCA graduate with practical exposure to Web Development and Operating Systems, looking to start a career in software development.

Highlights

  Web Development
  Operating Systems
  Software Testing
  Bootstrap
  C Programming

Accomplishments

  Recognized for outstanding performance during a 6-month internship at Infosys.
  Awarded 'Best Presentation' for a case study on student database management system.
  Successfully led a team of 5 students in a group project on student database management system.

Education

Bachelor of Computer Applications (BCA)
Jain University, 2021
Aggregate: 83.75%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Application Support Executive</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Fresh BCA graduate with practical exposure to Web Development and Operating Systems, looking to start a career in software development.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Web Development</li><li>Operating Systems</li><li>Software Testing</li><li>Bootstrap</li><li>C Programming</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Recognized for outstanding performance during a 6-month internship at Infosys.</li><li>Awarded 'Best Presentation' for a case study on student database management system.</li><li>Successfully led a team of 5 students in a group project on student database management system.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Computer Applications (BCA)<br>Jain University, 2021<br>Aggregate: 83.75%</p></div></div></div>",BCA
10000422,"         OPERATIONS TRAINEE

OPERATIONS TRAINEE

Summary

Well-rounded business administration graduate skilled in Presentation Skills, CRM Software and Social Media Marketing, eager to begin a career in a corporate environment.

Highlights

  Presentation Skills
  CRM Software
  Social Media Marketing
  Retail Operations
  Sales Strategy

Accomplishments

  Actively participated in college-level workshops and seminars related to brand positioning strategy.
  Secured a certificate of merit for academic excellence in social media marketing campaign.
  Recognized for outstanding performance during a 6-month internship at Tech Mahindra.
  Awarded 'Best Presentation' for a case study on customer satisfaction survey.

Education

Bachelor of Business Administration (BBA)
Mount Carmel College, 2021
Aggregate: 90.51%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Operations Trainee</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Well-rounded business administration graduate skilled in Presentation Skills, CRM Software and Social Media Marketing, eager to begin a career in a corporate environment.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Presentation Skills</li><li>CRM Software</li><li>Social Media Marketing</li><li>Retail Operations</li><li>Sales Strategy</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Actively participated in college-level workshops and seminars related to brand positioning strategy.</li><li>Secured a certificate of merit for academic excellence in social media marketing campaign.</li><li>Recognized for outstanding performance during a 6-month internship at Tech Mahindra.</li><li>Awarded 'Best Presentation' for a case study on customer satisfaction survey.</li></ul></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Business Administration (BBA)<br>Mount Carmel College, 2021<br>Aggregate: 90.51%</p></div></div></div>",BBA
10000423,"         SALES EXECUTIVE

Summary

Proactive Sales Executive with strong communication skills and internship exposure in Basic Accounting.

Highlights

  Basic Accounting
  Customer Service
  Time Management
  Business Communication
  Presentation Skills
  Social Media Marketing
  MS Office

Accomplishments

  Secured a certificate of merit for academic excellence in sales forecasting.
  Secured a certificate of merit for academic excellence in customer satisfaction survey.
  Successfully led a team of 5 students in a group project on retail store operations.

Experience

Administrative Executive
Zomato -- 2018
Worked on tasks involving Social Media Marketing, CRM Software, Customer Service. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 5 months of practical exposure to the BBA domain.

Education

Bachelor of Business Administration (BBA)
Jain University, 2020
Aggregate: 65.73%","<div class=""fontsize fontface vmargins hmargins linespacing pagesize"" id=""document""><div class=""section firstsection""><div class=""paragraph""><span class=""field fName"">Sales Executive</span></div><div class=""section""><p class=""section-title"">Summary</p><p>Proactive Sales Executive with strong communication skills and internship exposure in Basic Accounting.</p></div><div class=""section""><p class=""section-title"">Highlights</p><ul><li>Basic Accounting</li><li>Customer Service</li><li>Time Management</li><li>Business Communication</li><li>Presentation Skills</li><li>Social Media Marketing</li><li>MS Office</li></ul></div><div class=""section""><p class=""section-title"">Accomplishments</p><ul><li>Secured a certificate of merit for academic excellence in sales forecasting.</li><li>Secured a certificate of merit for academic excellence in customer satisfaction survey.</li><li>Successfully led a team of 5 students in a group project on retail store operations.</li></ul></div><div class=""section""><p class=""section-title"">Experience</p><p><br><br>Experience<br><br>Administrative Executive<br>Zomato -- 2018<br>Worked on tasks involving Social Media Marketing, CRM Software, Customer Service. Collaborated with a team to deliver assigned responsibilities within deadlines, gaining 5 months of practical exposure to the BBA domain.</p></div><div class=""section""><p class=""section-title"">Education</p><p><br><br>Education<br><br>Bachelor of Business Administration (BBA)<br>Jain University, 2020<br>Aggregate: 65.73%</p></div></div></div>",BBA
